Timestamp | System | Type | Color | Rate | Glass | Vantaux | Dimensions | Total Cost
2026-07-31 12:41:38 | Fixe خالص (بدون أوراق متحركة) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 0 | W:1.0m H:1.2m | Total: 12,000.00 DA
2026-07-31 12:41:46 | Fixe خالص (بدون أوراق متحركة) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 0 | W:1.0m H:1.0m | Total: 16,350.00 DA
2026-07-31 12:41:48 | Fixe خالص (بدون أوراق متحركة) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 0 | W:1.0m H:1.0m | Total: 12,000.00 DA
2026-07-31 12:41:48 | Fixe خالص (بدون أوراق متحركة) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 0 | W:1.0m H:1.0m | Total: 16,350.00 DA
2026-07-31 12:41:51 | Fixe خالص (بدون أوراق متحركة) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 0 | W:1.0m H:1.0m | Total: 12,000.00 DA
2026-07-31 12:42:36 | Fixe خالص (بدون أوراق متحركة) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 0 | W:1.0m H:1.0m | Total: 16,350.00 DA
2026-07-31 12:42:41 | Fixe خالص (بدون أوراق متحركة) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 0 | W:1.0m H:1.0m | Total: 12,000.00 DA
2026-07-31 12:48:21 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 12:48:26 | Fixe خالص (بدون أوراق متحركة) | TPR | أبيض | Rate:5500.0 | Glass:8099.999999999999 | Vantaux: 0 | W:1.5m H:1.2m | Total: 37,800.00 DA
2026-07-31 12:48:30 | Fixe خالص (بدون أوراق متحركة) | TPR | أبيض | Rate:5500.0 | Glass:0.0 | Vantaux: 0 | W:1.5m H:1.2m | Total: 44,000.00 DA
2026-07-31 12:48:40 | Fixe خالص (بدون أوراق متحركة) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 0 | W:1.5m H:1.2m | Total: 12,000.00 DA
2026-07-31 12:48:44 | Fixe خالص (بدون أوراق متحركة) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 0 | W:1.0m H:1.2m | Total: 12,000.00 DA
2026-07-31 12:49:18 | Fixe خالص (بدون أوراق متحركة) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 0 | W:1.0m H:1.0m | Total: 12,000.00 DA
2026-07-31 12:49:48 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 12:49:54 | Fixe خالص (بدون أوراق متحركة) | TPR | أبيض | Rate:5500.0 | Glass:8099.999999999999 | Vantaux: 0 | W:1.5m H:1.2m | Total: 52,100.00 DA
2026-07-31 12:50:04 | Fixe خالص (بدون أوراق متحركة) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 0 | W:1.5m H:1.2m | Total: 12,000.00 DA
2026-07-31 12:50:11 | Fixe خالص (بدون أوراق متحركة) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 0 | W:1.0m H:1.2m | Total: 12,000.00 DA
2026-07-31 12:50:19 | Fixe خالص (بدون أوراق متحركة) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 0 | W:1.0m H:1.0m | Total: 12,000.00 DA
2026-07-31 12:53:23 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 12:53:27 | Fixe خالص (بدون أوراق متحركة) | TPR | أبيض | Rate:5500.0 | Glass:8099.999999999999 | Vantaux: 0 | W:1.5m H:1.2m | Total: 30,100.00 DA
2026-07-31 12:53:34 | Fixe خالص (بدون أوراق متحركة) | TPR | أبيض | Rate:1500.0 | Glass:8099.999999999999 | Vantaux: 0 | W:1.5m H:1.2m | Total: 14,100.00 DA
2026-07-31 12:53:39 | Fixe خالص (بدون أوراق متحركة) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 0 | W:1.5m H:1.2m | Total: 6,000.00 DA
2026-07-31 12:53:46 | Fixe خالص (بدون أوراق متحركة) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 0 | W:1.0m H:1.2m | Total: 6,000.00 DA
2026-07-31 12:53:53 | Fixe خالص (بدون أوراق متحركة) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 0 | W:1.0m H:1.0m | Total: 6,000.00 DA
2026-07-31 12:54:01 | Fixe خالص (بدون أوراق متحركة) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 0 | W:1.0m H:1.0m | Total: 6,000.00 DA
